hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,bookingID
"Crystal Cove, Barbados Barbados",0,8,2019,January,2,10,0,4,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,314.0,,0,Transient,38.4,0,0,Check-Out,2019-01-14,1
"Greensboro Courtyard Greensboro, NC",1,524,2018,December,51,15,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.8,0,0,Canceled,2017-10-21,2
"The Westin Peachtree Plaza, Atlanta Atlanta, GA ",1,175,2019,May,20,19,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,12.0,,0,Transient,110.0,0,0,Canceled,2018-11-25,3
"Courtyard by Marriott Aberdeen Airport Aberdeen, United Kingdom",0,0,2018,October,43,17,1,0,1,0.0,0,BB,,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,200.0,0,Transient,45.0,0,0,Check-Out,2018-10-18,4
"W New York – Union Square New York, NY",1,33,2017,September,39,26,2,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,16.0,,0,Transient,57.92,0,1,Canceled,2017-08-24,5
"Hotel Maria Cristina, San Sebastian San Sebastian, Spain",1,395,2018,March,13,21,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,62.8,0,0,Canceled,2017-08-10,6
"W New York – Times Square New York, NY",0,205,2019,June,24,13,0,4,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,150.75,0,2,Check-Out,2019-06-17,7
"The Ritz-Carlton, Tokyo Tokyo, Japan",0,52,2018,July,29,12,0,2,3,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,D,E,1,No Deposit,9.0,,0,Transient,137.7,0,1,Check-Out,2018-07-14,8
"Marriott Puerto Vallarta Resort & Spa Puerto Vallarta, Mexico",0,44,2017,October,40,3,4,6,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,314.0,,0,Contract,77.84,0,0,Check-Out,2017-10-13,9
"Las Vegas Marriott Las Vegas, NV ",1,167,2018,July,31,29,0,2,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,94.5,0,0,Canceled,2018-07-24,10
